S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
240,2600,376,64,6.1,7.1,2000
241,5350,379,64,6,7.1,4000
242,2750,376,64,6.13,7.2,1600
243,3850,385,64,6.2,7.2,1500
244,3550,376,64,6.1,7.2,2000
245,5150,380,64,6.2,7.1,4500
246,5250,379,64,6,7.1,4000
247,1550,397,64,6.2,7.1,1000
248,2950,376,64,6.3,7.2,1500
249,1350,385,64,6.2,7.1,500
250,3300,380,64,6,7.2,2000
251,2000,370,64,6.2,7.1,1000
252,3000,380,64,6,7.2,1500
253,3000,385,64,6.3,7.2,2000
254,5000,379,64,6,7.1,3300
255,6000,397,64,6.1,7.2,3000
256,5450,380,64,6.2,7.1,4200
257,5200,396,64,6,7.1,3500
258,3450,385,64,6.1,7.1,1450
259,3550,376,64,6.1,7.2,1600
260,2350,397,64,6.3,7.1,1700
261,3350,380,64,6.2,7.1,2000
262,3050,380,64,6,7.1,1000
263,2050,370,64,6.2,7.2,2050
264,5050,396,64,6.2,7.1,4500
265,6050,397,64,6.1,7.2,3500
266,1400,385,64,6.3,7.2,1400
267,2600,376,64,6.3,7.1,2600
268,5600,379,64,6,7.1,3500
269,5450,380,64,6.2,7.1,4000
270,5300,379,64,6,7.1,4500
271,2300,370,64,6.2,7.1,1500
272,3300,396,64,6,7.2,1750
273,5000,379,64,6.2,7.1,2500
274,3500,385,64,6.1,7.2,2000
275,2600,370,64,6.3,7.1,2600
276,2700,376,64,6.3,7.1,1600
277,2850,397,64,6.13,7.2,1800
278,3750,376,64,6.3,7.2,2000
279,3600,396,64,6,7.1,2500
280,1900,397,64,6.3,7.1,1000
281,1250,376,64,6.2,7.1,500
282,3100,380,64,6.3,7.2,1300
283,6500,397,64,6.1,7.2,3000
284,6250,397,64,6.1,7.2,3200
285,2650,370,64,6.13,7.1,1200
286,3800,385,64,6,7.2,1550
287,5350,396,64,6.2,7.1,3000
288,5100,380,64,6,7.1,4000
289,1600,385,64,6.2,7.2,1600
290,1700,397,64,6.3,7.2,1000
291,1350,376,64,6.2,7.1,1350
292,3250,380,64,6,7.1,1750
293,2250,370,64,6.1,7.2,1850
294,1300,396,64,6.3,7.2,500
295,5250,380,64,6.2,7.1,3500
296,2300,370,64,6.3,7.1,1450
297,3400,385,64,6,7.1,2000
298,3750,376,64,6.3,7.2,1550
299,3100,380,64,6.2,7.1,1400
300,3150,396,64,6,7.2,1500
301,2600,380,64,6,7.1,1460
302,3100,380,64,6,7.1,1600
303,2750,376,64,6.13,7.2,1600
304,3500,376,64,6.1,7.2,2250
305,3750,397,64,6.1,7.2,3000
306,3200,396,64,6.2,7.2,2500
307,1500,385,64,6.2,7.2,500
308,1600,376,64,6.3,7.2,1600
309,3500,385,64,6.3,7.2,2200
310,3250,376,64,6.3,7.1,2000
311,2500,376,64,6.3,7.1,2500
312,2000,370,64,6.1,7.1,1500
313,2500,376,64,6.1,7.1,1750
314,1900,396,64,6.2,7.1,1200
315,2000,397,64,6.2,7.1,1500
316,1500,397,64,6,7.1,1000
317,3250,396,64,6.2,7.1,3000
318,2250,379,64,6.2,7.1,2000
319,1250,376,64,6.2,7.1,1250
320,2200,379,64,6,7.1,1600
321,1100,380,64,6.2,7.1,600
322,1950,380,64,6,7.1,1500
323,3200,385,64,6.2,7.2,2500
324,2100,370,64,6.1,7.1,1600
325,3150,396,64,6,7.2,1500
326,1800,397,64,6.3,7.1,1800
327,2500,370,64,6.1,7.2,1750
328,3500,385,64,6.3,7.2,2250
329,3500,376,64,6.1,7.2,2200
330,1900,397,64,6.3,7.1,600
331,2500,370,64,6.2,7.1,2500
332,3800,385,64,6.3,7.2,1600
333,2100,396,64,6,7.1,1500
334,2400,370,64,6.3,7.1,2000
335,3950,396,64,6.1,7.2,3000
336,2700,380,64,6.2,7.1,2500
337,1500,376,64,6.2,7.1,500
338,2150,397,64,6.2,7.1,1500
339,3150,396,64,6.3,7.1,2150
340,2600,376,64,6.1,7.1,2000
341,5350,379,64,6,7.1,4000
342,2750,376,64,6.13,7.2,1600
343,3850,385,64,6.2,7.2,1500
344,3550,376,64,6.1,7.2,2000
345,5150,380,64,6.2,7.1,4500
346,5250,379,64,6,7.1,4000
347,1550,397,64,6.2,7.1,1000
348,2950,376,64,6.3,7.2,1500
349,1350,385,64,6.2,7.1,500
350,3300,380,64,6,7.2,2000
351,2000,370,64,6.2,7.1,1000
352,3000,380,64,6,7.2,1500
353,3000,385,64,6.3,7.2,2000
354,5000,379,64,6,7.1,3300
355,6000,397,64,6.1,7.2,3000
356,5450,380,64,6.2,7.1,4200
357,5200,396,64,6,7.1,3500
358,3450,385,64,6.1,7.1,1450
359,3550,376,64,6.1,7.2,1600
360,2350,397,64,6.3,7.1,1700
361,3350,380,64,6.2,7.1,2000
362,3050,380,64,6,7.1,1000
363,2050,370,64,6.2,7.2,2050
364,5050,396,64,6.2,7.1,4500
365,6050,397,64,6.1,7.2,3500
